========================================
  CTT-JEPA Experiments on H100
  Started: Fri Mar 27 10:54:54 UTC 2026
========================================
[1/2] Training C-JEPA Baseline...
10:55:00.865 | INFO    (4670, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
10:55:06.687 | INFO    (4670, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:  20%|██        | 109/532 [00:12<00:40, 10.57it/s, loss=0.0623, future=0.0372]
Epoch 1:  20%|██        | 109/532 [00:12<00:40, 10.57it/s, loss=0.0610, future=0.0367]
Epoch 1:  20%|██        | 109/532 [00:12<00:40, 10.57it/s, loss=0.0627, future=0.0380]
Epoch 1:  21%|██        | 111/532 [00:12<00:40, 10.51it/s, loss=0.0627, future=0.0380]
Epoch 1:  21%|██        | 111/532 [00:12<00:40, 10.51it/s, loss=0.0616, future=0.0371]
Epoch 1:  21%|██        | 111/532 [00:12<00:40, 10.51it/s, loss=0.0614, future=0.0371]
Epoch 1:  21%|██        | 113/532 [00:12<00:39, 10.56it/s, loss=0.0614, future=0.0371]
Epoch 1:  21%|██        | 113/532 [00:13<00:39, 10.56it/s, loss=0.0591, future=0.0354]
Epoch 1:  21%|██        | 113/532 [00:13<00:39, 10.56it/s, loss=0.0599, future=0.0365]
Epoch 1:  22%|██▏       | 115/532 [00:13<00:39, 10.49it/s, loss=0.0599, future=0.0365]
Epoch 1:  22%|██▏       | 115/532 [00:13<00:39, 10.49it/s, loss=0.0595, future=0.0361]
Epoch 1:  22%|██▏       | 115/532 [00:13<00:39, 10.49it/s, loss=0.0596, future=0.0361]
Epoch 1:  22%|██▏       | 117/532 [00:13<00:39, 10.57it/s, loss=0.0596, future=0.0361]
Epoch 1:  22%|██▏       | 117/532 [00:13<00:39, 10.57it/s, loss=0.0595, future=0.0361]
Epoch 1:  22%|██▏       | 117/532 [00:13<00:39, 10.57it/s, loss=0.0605, future=0.0367]
