11:29:42.583 | INFO    (9751, __main__) | DDP: False, Rank: 0, World Size: 1, Device: cuda:0
11:29:49.265 | INFO    (9751, __main__) | Train samples: 1090000, Val samples: 545000

Epoch 1:  16%|█▌        | 85/532 [00:08<00:27, 16.25it/s, loss=0.0790, future=0.0444]
Epoch 1:  16%|█▌        | 85/532 [00:08<00:27, 16.25it/s, loss=0.0758, future=0.0428]
Epoch 1:  16%|█▌        | 85/532 [00:08<00:27, 16.25it/s, loss=0.0733, future=0.0417]
Epoch 1:  16%|█▋        | 87/532 [00:08<00:27, 16.25it/s, loss=0.0733, future=0.0417]
Epoch 1:  16%|█▋        | 87/532 [00:08<00:27, 16.25it/s, loss=0.0725, future=0.0417]
Epoch 1:  16%|█▋        | 87/532 [00:08<00:27, 16.25it/s, loss=0.0714, future=0.0408]
Epoch 1:  17%|█▋        | 89/532 [00:08<00:27, 16.24it/s, loss=0.0714, future=0.0408]
Epoch 1:  17%|█▋        | 89/532 [00:08<00:27, 16.24it/s, loss=0.0703, future=0.0403]
Epoch 1:  17%|█▋        | 89/532 [00:08<00:27, 16.24it/s, loss=0.0704, future=0.0408]
Epoch 1:  17%|█▋        | 91/532 [00:08<00:27, 16.27it/s, loss=0.0704, future=0.0408]
Epoch 1:  17%|█▋        | 91/532 [00:08<00:27, 16.27it/s, loss=0.0678, future=0.0390]
Epoch 1:  17%|█▋        | 91/532 [00:08<00:27, 16.27it/s, loss=0.0668, future=0.0388]
Epoch 1:  17%|█▋        | 93/532 [00:08<00:27, 16.25it/s, loss=0.0668, future=0.0388]
Epoch 1:  17%|█▋        | 93/532 [00:08<00:27, 16.25it/s, loss=0.0663, future=0.0387]
Epoch 1:  17%|█▋        | 93/532 [00:08<00:27, 16.25it/s, loss=0.0665, future=0.0391]
Epoch 1:  18%|█▊        | 95/532 [00:08<00:26, 16.21it/s, loss=0.0665, future=0.0391]
Epoch 1:  18%|█▊        | 95/532 [00:08<00:26, 16.21it/s, loss=0.0650, future=0.0386]
Epoch 1:  18%|█▊        | 95/532 [00:08<00:26, 16.21it/s, loss=0.0647, future=0.0382]
